channel_id,video_url,comment
UC16niRr50-MSBwiO3YDb3RA,https://www.youtube.com/watch?v=PnITBsmG7G0,"PAKISTAN'S MILITARY MUST INFILTRATE BLA  & ASSASSINATE THEIR RING LEADERS, PUT ALL BALUCH PEOPLES  IN RESERVATIONS LIKE THE NATIVES OF USA THAT THE EUROPEANS DID!!! MASS MIGRATION OF PUNJABIS TO BALUCHISTAN WITH FREE PLOTS OF LAND AND HOUSINGS, FINALLY BRING IN PROGRAM OF PAKISTANIZATION OF PAKISTAN BY RENAMING BALUCHISTAN WITH NEW NAME OF SW PAKISTAN 🇵🇰  = SOUTH WEST PAKISTAN 🇵🇰 
!!!!🇵🇰🇹🇷💚❤️💪💪🇵🇰🇹🇷🇵🇰🇹🇷🇵🇰🇹🇷🇵🇰🇹🇷🇵🇰🇹🇷🇵🇰🇹🇷🇵🇰🇹🇷🇵🇰🇹🇷🇵🇰🇹🇷"
UC16niRr50-MSBwiO3YDb3RA,https://www.youtube.com/watch?v=PnITBsmG7G0,"Where did this happen in,  London or Birmingham?🤔"
UC16niRr50-MSBwiO3YDb3RA,https://www.youtube.com/watch?v=PnITBsmG7G0,Alamuddin 🤲
UC16niRr50-MSBwiO3YDb3RA,https://www.youtube.com/watch?v=PnITBsmG7G0,Inna illahi wa inna ilayhi re’jeoon
UC16niRr50-MSBwiO3YDb3RA,https://www.youtube.com/watch?v=PnITBsmG7G0,The religion of pieces strikes again! 🤬😈
UC16niRr50-MSBwiO3YDb3RA,https://www.youtube.com/watch?v=PnITBsmG7G0,Indian Government is Sponsoring terrorism in Balochistan by giving money and weapons to certain terrorist Groups. And last month 2 Indian intelligence agents have been caught funding and carrying out attacks in Balochistan it has been on Pakistani News and Pakistan Government know that they come over from Afghanistan side.
UC16niRr50-MSBwiO3YDb3RA,https://www.youtube.com/watch?v=PnITBsmG7G0,"I don't really understand Pakistan Anymore, International Beggars, Can't afford food and electricity. still have free time to spread anti-India rhetoric in every Instagram post ?"
UC16niRr50-MSBwiO3YDb3RA,https://www.youtube.com/watch?v=PnITBsmG7G0,Dont take balochistan land colonizers
UC16niRr50-MSBwiO3YDb3RA,https://www.youtube.com/watch?v=PnITBsmG7G0,Allah hu akbar
UC16niRr50-MSBwiO3YDb3RA,https://www.youtube.com/watch?v=PnITBsmG7G0,Peace + peace = master piece
UC16niRr50-MSBwiO3YDb3RA,https://www.youtube.com/watch?v=PnITBsmG7G0,Islam=Masterpeace
UC16niRr50-MSBwiO3YDb3RA,https://www.youtube.com/watch?v=PnITBsmG7G0,Free Balochistan from Pakistani genocide
UC16niRr50-MSBwiO3YDb3RA,https://www.youtube.com/watch?v=PnITBsmG7G0,Isn’t Islam supposed to be a peaceful religion?
UC16niRr50-MSBwiO3YDb3RA,https://www.youtube.com/watch?v=PnITBsmG7G0,Oh boy some more love from the religion of love😮😢. How can this ever be okay. This must end.
UC16niRr50-MSBwiO3YDb3RA,https://www.youtube.com/watch?v=PnITBsmG7G0,Panjabi = Zionist
UC16niRr50-MSBwiO3YDb3RA,https://www.youtube.com/watch?v=PnITBsmG7G0,Please support freeing Balochistan from Panjabis!
UC16niRr50-MSBwiO3YDb3RA,https://www.youtube.com/watch?v=PnITBsmG7G0,Free Balochistan
UC16niRr50-MSBwiO3YDb3RA,https://www.youtube.com/watch?v=PnITBsmG7G0,Mashallah!
UC16niRr50-MSBwiO3YDb3RA,https://www.youtube.com/watch?v=PnITBsmG7G0,Allah pak Shaheed honey Walon k Darjaat buland karay
UC16niRr50-MSBwiO3YDb3RA,https://www.youtube.com/watch?v=PnITBsmG7G0,Islam worries about afterlife. Life on earth is a waiting room only.
UC16niRr50-MSBwiO3YDb3RA,https://www.youtube.com/watch?v=PnITBsmG7G0,My thoughts and prayers are with everyone affected.
UC16niRr50-MSBwiO3YDb3RA,https://www.youtube.com/watch?v=PnITBsmG7G0,When do the university campus protests start?
UC16niRr50-MSBwiO3YDb3RA,https://www.youtube.com/watch?v=PnITBsmG7G0,Peace + peace = masterpiece
